2018-12-31 23:08:46,835:Key.ctrl_l
2018-12-31 23:08:47,187:'c'
2018-12-31 23:08:48,685:'w'
2018-12-31 23:08:53,521:Key.ctrl_l
2018-12-31 23:08:53,809:'c'
2018-12-31 23:08:54,141:'w'
2018-12-31 23:09:18,891:Key.ctrl_l
2018-12-31 23:09:19,288:'c'
2018-12-31 23:09:21,472:'w'
2018-12-31 23:10:07,465:Key.ctrl_l
2018-12-31 23:10:07,786:'c'
2018-12-31 23:10:09,729:'w'
2018-12-31 23:11:07,822:'b'
2018-12-31 23:11:07,964:'b'
2018-12-31 23:11:08,323:Key.space
2018-12-31 23:11:08,540:Key.ctrl_l
2018-12-31 23:11:08,666:Key.enter
2018-12-31 23:22:38,177:Key.alt_l
2018-12-31 23:22:38,248:Key.tab
2018-12-31 23:22:42,052:'b'
2018-12-31 23:22:42,144:'a'
2018-12-31 23:22:42,314:'i'
2018-12-31 23:22:43,903:Key.enter
2018-12-31 23:23:16,491:Key.shift
2018-12-31 23:23:16,732:'h'
2018-12-31 23:23:16,905:'u'
2018-12-31 23:23:17,156:'n'
2018-12-31 23:23:17,226:'a'
2018-12-31 23:23:17,324:'n'
2018-12-31 23:23:17,765:Key.space
2018-12-31 23:23:17,907:'w'
2019-01-01 10:55:37,489:Key.ctrl_l
2019-01-01 10:55:37,986:Key.ctrl_l
2019-01-01 10:55:38,019:Key.ctrl_l
2019-01-01 10:55:38,036:'c'
2019-01-01 10:55:38,695:'w'
2019-01-01 10:55:43,172:Key.ctrl_l
2019-01-01 10:55:43,590:'c'
2019-01-01 10:55:44,020:'w'
2019-01-01 10:56:15,455:Key.ctrl_l
2019-01-01 10:56:15,958:Key.ctrl_l
2019-01-01 10:56:15,989:Key.ctrl_l
2019-01-01 10:56:16,022:Key.ctrl_l
2019-01-01 10:56:16,055:Key.ctrl_l
2019-01-01 10:56:16,061:'c'
2019-01-01 10:56:18,462:'w'
2019-01-01 10:56:25,488:Key.alt_l
2019-01-01 10:56:25,655:Key.tab
2019-01-01 10:56:28,863:Key.ctrl_l
2019-01-01 10:56:29,325:'c'
2019-01-01 10:56:31,813:'w'
2019-01-01 10:56:36,965:Key.alt_l
2019-01-01 10:56:37,112:Key.tab
2019-01-01 10:56:40,330:Key.alt_l
2019-01-01 10:56:40,413:Key.tab
